NAME                                                                                 VERSION                                TYPE                      
acl-libs                                                                             2.3.2-r1                               apk                        
alpine-baselayout                                                                    3.6.8-r0                               apk                        
alpine-baselayout-data                                                               3.6.8-r0                               apk                        
alpine-keys                                                                          2.5-r0                                 apk                        
apache2-utils                                                                        2.4.62-r0                              apk                        
apk-tools                                                                            2.14.7-r0                              apk                        
apr                                                                                  1.7.5-r0                               apk                        
apr-util                                                                             1.6.3-r1                               apk                        
bash                                                                                 5.2.37-r0                              apk                        
bazil.org/fuse                                                                       v0.0.0-20230120002735-62a210ff1fd5     go-module                  
brotli-libs                                                                          1.1.0-r2                               apk                        
busybox                                                                              1.37.0-r10                             apk                        
busybox-binsh                                                                        1.37.0-r10                             apk                        
c-ares                                                                               1.34.3-r0                              apk                        
ca-certificates                                                                      20241010-r0                            apk                        
ca-certificates-bundle                                                               20241010-r0                            apk                        
catatonit                                                                            0.2.0-r0                               apk                        
cel.dev/expr                                                                         v0.16.1                                go-module                  
cloud.google.com/go                                                                  v0.116.0                               go-module                  
cloud.google.com/go/auth                                                             v0.10.2                                go-module                  
cloud.google.com/go/auth                                                             v0.7.0                                 go-module                  
cloud.google.com/go/auth/oauth2adapt                                                 v0.2.2                                 go-module                  
cloud.google.com/go/auth/oauth2adapt                                                 v0.2.5                                 go-module                  
cloud.google.com/go/compute/metadata                                                 v0.4.0                                 go-module                  
cloud.google.com/go/compute/metadata                                                 v0.5.2                                 go-module                  
cloud.google.com/go/iam                                                              v1.2.2                                 go-module                  
cloud.google.com/go/monitoring                                                       v1.21.2                                go-module                  
cloud.google.com/go/storage                                                          v1.47.0                                go-module                  
coreutils                                                                            9.5-r1                                 apk                        
coreutils-env                                                                        9.5-r1                                 apk                        
coreutils-fmt                                                                        9.5-r1                                 apk                        
coreutils-sha512sum                                                                  9.5-r1                                 apk                        
curl                                                                                 8.11.1-r0                              apk                        
docker-cli                                                                           27.4.1-r0                              apk                        
findutils                                                                            4.10.0-r0                              apk                        
fuse                                                                                 2.9.9-r6                               apk                        
fuse-common                                                                          3.16.2-r1                              apk                        
github.com/Azure/azure-sdk-for-go/sdk/azcore                                         v1.13.0                                go-module                  
github.com/Azure/azure-sdk-for-go/sdk/azcore                                         v1.16.0                                go-module                  
github.com/Azure/azure-sdk-for-go/sdk/azidentity                                     v1.7.0                                 go-module                  
github.com/Azure/azure-sdk-for-go/sdk/azidentity                                     v1.8.0                                 go-module                  
github.com/Azure/azure-sdk-for-go/sdk/internal                                       v1.10.0                                go-module  (+1 duplicate)  
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                                 v1.3.2                                 go-module                  
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                                 v1.5.0                                 go-module                  
github.com/Azure/azure-sdk-for-go/sdk/storage/azfile                                 v1.2.2                                 go-module                  
github.com/Azure/go-ntlmssp                                                          v0.0.0-20221128193559-754e69321358     go-module                  
github.com/AzureAD/microsoft-authentication-library-for-go                           v1.2.2                                 go-module  (+1 duplicate)  
github.com/Files-com/files-sdk-go/v3                                                 v3.2.34                                go-module                  
github.com/GehirnInc/crypt                                                           v0.0.0-20230320061759-8cc1b52080c5     go-module                  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp             v1.24.1                                go-module                  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric           v0.48.1                                go-module                  
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping  v0.48.1                                go-module                  
github.com/Max-Sum/base32768                                                         v0.0.0-20230304063302-18e6ce5945fd     go-module                  
github.com/ProtonMail/bcrypt                                                         v0.0.0-20211005172633-e235017c1baf     go-module                  
github.com/ProtonMail/gluon                                                          v0.17.1-0.20230724134000-308be39be96e  go-module                  
github.com/ProtonMail/go-crypto                                                      v1.0.0                                 go-module                  
github.com/ProtonMail/go-mime                                                        v0.0.0-20230322103455-7d82a3887f2f     go-module                  
github.com/ProtonMail/go-srp                                                         v0.0.7                                 go-module                  
github.com/ProtonMail/gopenpgp/v2                                                    v2.7.4                                 go-module                  
github.com/PuerkitoBio/goquery                                                       v1.8.1                                 go-module                  
github.com/a8m/tree                                                                  v0.0.0-20240104212747-2c8764a5f17e     go-module                  
github.com/aalpar/deheap                                                             v0.0.0-20210914013432-0cc84d79dec3     go-module                  
github.com/abbot/go-http-auth                                                        v0.4.0                                 go-module                  
github.com/alecthomas/kingpin/v2                                                     v2.4.0                                 go-module                  
github.com/alecthomas/units                                                          v0.0.0-20211218093645-b94a6e3cc137     go-module                  
github.com/anacrolix/dms                                                             v1.7.1                                 go-module                  
github.com/anacrolix/generics                                                        v0.0.1                                 go-module                  
github.com/anacrolix/log                                                             v0.15.2                                go-module                  
github.com/andybalholm/cascadia                                                      v1.3.2                                 go-module                  
github.com/appscode/go-querystring                                                   v0.0.0-20170504095604-0126cfb3f1dc     go-module                  
github.com/atotto/clipboard                                                          v0.1.4                                 go-module                  
github.com/aws/aws-sdk-go-v2                                                         v1.30.3                                go-module                  
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream                                v1.6.3                                 go-module                  
github.com/aws/aws-sdk-go-v2/config                                                  v1.27.27                               go-module                  
github.com/aws/aws-sdk-go-v2/credentials                                             v1.17.27                               go-module                  
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                        v1.16.11                               go-module                  
github.com/aws/aws-sdk-go-v2/feature/s3/manager                                      v1.17.10                               go-module                  
github.com/aws/aws-sdk-go-v2/internal/configsources                                  v1.3.15                                go-module                  
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                                   v2.6.15                                go-module                  
github.com/aws/aws-sdk-go-v2/internal/ini                                            v1.8.0                                 go-module                  
github.com/aws/aws-sdk-go-v2/internal/v4a                                            v1.3.15                                go-module                  
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding                        v1.11.3                                go-module                  
github.com/aws/aws-sdk-go-v2/service/internal/checksum                               v1.3.17                                go-module                  
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                          v1.11.17                               go-module                  
github.com/aws/aws-sdk-go-v2/service/internal/s3shared                               v1.17.15                               go-module                  
github.com/aws/aws-sdk-go-v2/service/s3                                              v1.58.3                                go-module                  
github.com/aws/aws-sdk-go-v2/service/sso                                             v1.22.4                                go-module                  
github.com/aws/aws-sdk-go-v2/service/ssooidc                                         v1.26.4                                go-module                  
